id,gender,party,name,name_dari,ballotNumber,incumbent,electedPreliminary,electedFinal
1389129,M,independent,Mir Haidar Andarabi,,110,False,79,
1412943,M,independent, Abdul Khaliq Azad,عبدالخالق آزاد,19,False,4270,4271
1419485,M,independent,Dr. Sayed Rahem Arab,دکتورسید رحیم عرب,17,False,221,221
1427155,M,independent, Hajji Muhammad Jan Rezayee,حاجی محمدجان رضایی,65,False,2379,2380
1438829,M,independent, Muhammad Arif Rezayee,محمد عارف رضائی,57,False,1730,1730
1446468,M,independent,Hajji Salih Muhammad,حاجی صالح محمد,6,False,6188,5853
1447763,F,independent, Anisa Amiri,انیسه امیری,23,False,915,915
1455292,M,independent,Dr. Abdullah Rawan Numialay,داکتر عبدالله روان   نومیالی,75,False,905,905
1461938,F,independent,Eng. Sakina Ghafari,انجنیر سکینه غفاری,40,False,1842,1842
1462625,M,independent,Din Muhammad Hakimi,دین محمد حکیمی,9,False,639,639
1464901,M,independent,Sher Muhammad Mauj,شیر محمد موج,9,False,722,722
1465715,M,independent,Dr. Amar ‐ud‐ Din,داکتر امرالدین,28,False,2674,2674
1468017,M,independent,Hajji Khalilullah Azizi,حاجی خلیل الله عزیزی,2,False,4253,4253
1468083,M,independent,Sayed Ghulam Hussain Balkhabi,سید غلام حسین حسینی بلخابی,44,False,195,195
1475566,M,independent,Hajji Abdul Ghafar,حاجی عبدالغفار,21,False,225,225
1488182,M,independent,Hajji Payenda Muhammad Khan,حاجی پاینده محمد خان,37,True,7148,7148
1489801,M,independent,Faizullah Faiz,فیض الله فیاض,25,False,1355,1355
1508158,M,independent,Hamidullah Bik,حمیدالله بیک,34,False,1826,1826
1508673,M,independent,Alhaj Qari Abdul Manan,الحاج قاری عبدالمنان,42,False,187,187
1515001,M,independent,Hajji Waheedullah Kalimzai Wardak,,2,False,12508,
1515002,M,independent, Ghulam Husain Naseri,غلام حسین ناصری,30,False,8552,8552
1515004,F,independent,Ustad Humaira Haqmal,استاد حمیرا حقمل,9,False,1551,1537
1515005,M,independent,Mohammad Aman Bahbudi,محمد امان بهبودی,3,False,1144,1143
1515006,M,independent,Sharif Poya,شریف پویا,12,False,1646,1646
1515007,F,independent,Sediqa Mubariz,صدیقه مبارز,34,True,3171,3176
1515008,M,independent,Hajji Abdul Majed Wardak,حاجی عبدالمجید وردگ,25,False,5405,5470
